fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
7.4;0.7;0;1.9;0.08;11;34;1;3.51;0.56;9.4;5
7.8;0.88;0;2.6;0.1;25;67;1;3.2;0.68;9.8;5
7.8;0.76;0.04;2.3;0.09;15;54;1;3.26;0.65;9.8;5
11.2;0.28;0.56;1.9;0.08;17;60;1;3.16;0.58;9.8;6
7.4;0.7;0;1.9;0.08;11;34;1;3.51;0.56;9.4;5
7.4;0.66;0;1.8;0.08;13;40;1;3.51;0.56;9.4;5
7.9;0.6;0.06;1.6;0.07;15;59;1;3.3;0.46;9.4;5
7.3;0.65;0;1.2;0.07;15;21;0.99;3.39;0.47;10;7
7.8;0.58;0.02;2;0.07;9;18;1;3.36;0.57;9.5;7
7.5;0.5;0.36;6.1;0.07;17;102;1;3.35;0.8;10.5;5
6.7;0.58;0.08;1.8;0.1;15;65;1;3.28;0.54;9.2;5
7.5;0.5;0.36;6.1;0.07;17;102;1;3.35;0.8;10.5;5
5.6;0.62;0;1.6;0.09;16;59;0.99;3.58;0.52;9.9;5
7.8;0.61;0.29;1.6;0.11;9;29;1;3.26;1.56;9.1;5
8.9;0.62;0.18;3.8;0.18;52;145;1;3.16;0.88;9.2;5
8.9;0.62;0.19;3.9;0.17;51;148;1;3.17;0.93;9.2;5
8.5;0.28;0.56;1.8;0.09;35;103;1;3.3;0.75;10.5;7
8.1;0.56;0.28;1.7;0.37;16;56;1;3.11;1.28;9.3;5
7.4;0.59;0.08;4.4;0.09;6;29;1;3.38;0.5;9;4
7.9;0.32;0.51;1.8;0.34;17;56;1;3.04;1.08;9.2;6
8.9;0.22;0.48;1.8;0.08;29;60;1;3.39;0.53;9.4;6
7.6;0.39;0.31;2.3;0.08;23;71;1;3.52;0.65;9.7;5
7.9;0.43;0.21;1.6;0.11;10;37;1;3.17;0.91;9.5;5
8.5;0.49;0.11;2.3;0.08;9;67;1;3.17;0.53;9.4;5
6.9;0.4;0.14;2.4;0.09;21;40;1;3.43;0.63;9.7;6
6.3;0.39;0.16;1.4;0.08;11;23;1;3.34;0.56;9.3;5
7.6;0.41;0.24;1.8;0.08;4;11;1;3.28;0.59;9.5;5
7.9;0.43;0.21;1.6;0.11;10;37;1;3.17;0.91;9.5;5
7.1;0.71;0;1.9;0.08;14;35;1;3.47;0.55;9.4;5
